abbr,university,faculty,title,mode,link,duration,fees,start,deadline,description
MArch (Design),HKU,Faculty of Architecture,Master of Architecture (Design),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-architecture-(design)-foa&mode=0,3 years,"HK$724,500",August 2026,"Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (three years)
MArch,HKU,Faculty of Architecture,Master of Architecture (non-HK and International Applicants),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-architecture-(non-hk-and-international-applicants)-foa&mode=0,2 years,"HK$460,000",September 2026,"Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (two years)
MArch,HKU,Faculty of Architecture,Master of Architecture (UGC funded for HK Applicants),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-architecture-(ugc-funded-for-hk-applicants)-foa&mode=0,2 years,"HK$96,500",September 2026,"Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (two years)
MDUM,HKU,Faculty of Architecture,Master of Digital Urban Management,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-digital-urban-management-foa&mode=0,1 year,"HK$288,000",September 2026,"Early Round Admission: 12:00 noon (GMT +8), October 22, 2025 Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time
MLA,HKU,Faculty of Architecture,Master of Landscape Architecture,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-landscape-architecture-foa&mode=0,2 years,"HK$215,800",September 2026,"Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (two years)
MSc(AAD),HKU,Faculty of Architecture,Master of Science in Advanced Architectural Design (January 2026),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-advanced-architectural-design-(september-2025)-foa&mode=0,1 year,"Self-funded HK$262,500",January 2026,"Main Round: 12:00 noon (GMT +8), November 03, 2025",Full Time (one year)
MSc(Conservation),HKU,Faculty of Architecture,Master of Science in Conservation,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-conservation-foa&mode=0,1 year,"Self-funded HK$248,800",September 2026,"Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
MSc(ConstProjectMan),HKU,Faculty of Architecture,Master of Science in Construction Project Management,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-construction-project-management-foa&mode=0,1 year,"Self-funded HK$280,080",September 2026,"Early Admissions Round will take place from September to December 2025, with applications reviewed by the Department on a rolling basis. Those who are not admitted in the early round will be considered in the Main Round.: 12:00 noon (GMT +8), January 02, 2026",Full Time (one to two years)
MSc(DMBA),HKU,Faculty of Architecture,Master of Science in Digital Management of Built Assets,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-digital-management-of-built-assets-foa&mode=0,1 year,"Self-funded HK$280,080",September 2025,"Early Admissions Round will take place from September to December 2025, with applications reviewed by the Department on a rolling basis. Those who are not admitted in the early round will be considered in the Main Round with the application deadline: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
MSc(RealEst),HKU,Faculty of Architecture,Master of Science in Real Estate,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-real-estate-foa&mode=0,1 year,"Self-funded HK$280,080",September 2026,"Early Admissions Round will take place from September to December 2025, with applications reviewed by the Department on a rolling basis. Those who are not admitted in the early round will be considered in the Main Round.: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
MSc(SED),HKU,Faculty of Architecture,Master of Science in Sustainable Environmental Design,Full-Time & Part-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-sustainable-environmental-design-foa&mode=0,1 year,"HK$250,000",September 2026,"Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
MSc(UrbanAnalytics),HKU,Faculty of Architecture,Master of Science in Urban Analytics,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-urban-analytics-foa&mode=0,1 year,"HK$240,000",September 2026,"Early Round: 12:00 noon (GMT +8), October 22, 2025 Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (one year)
MSc(UDT),HKU,Faculty of Architecture,Master of Science in Urban Design and Transport,Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-urban-design-and-transport-foa&mode=0,2 years,"Self-funded HK$372,000",September 2026,"Early Round Admissions: 12:00 noon (GMT +8), October 22, 2025 Main Round Admissions: 12:00 noon (GMT +8), January 02, 2026",Full Time (two years)
MSc(Urban Planning),HKU,Faculty of Architecture,Master of Science in Urban Planning (For ADB-Japan Scholarship Programme applicants),Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-urban-planning-(for-adb-japan-scholarship-programme-applicants)-foa&mode=0,2 years,"HK$396,000",September 2026,"Main Round: 12:00 noon (GMT +8), January 30, 2026",Full Time (two years)
MSc(Urban Planning) (URP),HKU,Faculty of Architecture,Master of Science in Urban Planning (Urban and Regional Planning Stream) [Self-funded for all applicants],Full-Time,https://portal.hku.hk/tpg-admissions/programme-details?programme=master-of-science-in-urban-planning-(urban-and-regional-planning-stream)-foa&mode=0,2 years,"Self-funded HK$419,600",September 2026,"Early Round: 12:00 noon (GMT +8), October 22, 2025 Main Round: 12:00 noon (GMT +8), January 02, 2026",Full Time (two years)
